execucao,arquitetura,lr,partidas,iteracoes,horas,vitoria_pct,ic95_baixo_pct,ic95_alto_pct
bucket_heuristic,anterior,0.001,24300000,12150,6.113,66.149,65.855,66.442
bucket_heuristic,anterior,0.001,24400000,12200,6.137,66.094,65.8,66.387
bucket_heuristic,anterior,0.001,24500000,12250,6.162,66.152,65.858,66.445
bucket_heuristic,anterior,0.001,24600000,12300,6.187,66.109,65.815,66.402
bucket_heuristic,anterior,0.001,24700000,12350,6.212,66.126,65.832,66.419
bucket_heuristic,anterior,0.001,24800000,12400,6.237,66.168,65.874,66.461
bucket_heuristic,anterior,0.001,24900000,12450,6.262,65.963,65.669,66.256
bucket_heuristic,anterior,0.001,25000000,12500,6.287,66.152,65.858,66.445
bucket_heuristic,anterior,0.001,25100000,12550,6.312,66.004,65.71,66.297
bucket_heuristic,anterior,0.001,25200000,12600,6.337,66.112,65.818,66.405
bucket_heuristic,anterior,0.001,25300000,12650,6.362,66.086,65.792,66.379
bucket_heuristic_recent,anterior,0.001,0,0,0.008,62.631,62.331,62.93
bucket_heuristic_recent,anterior,0.001,100000,50,0.036,63.957,63.659,64.254
bucket_heuristic_recent,anterior,0.001,200000,100,0.064,64.026,63.728,64.323
bucket_heuristic_recent,anterior,0.001,300000,150,0.092,64.354,64.057,64.65
bucket_heuristic_recent,anterior,0.001,400000,200,0.119,64.334,64.037,64.63
bucket_heuristic_recent,anterior,0.001,500000,250,0.147,64.544,64.247,64.84
bucket_heuristic_recent,anterior,0.001,600000,300,0.175,64.415,64.118,64.711
bucket_heuristic_recent,anterior,0.001,700000,350,0.202,64.656,64.359,64.952
bucket_heuristic_recent,anterior,0.001,800000,400,0.23,64.701,64.404,64.997
bucket_heuristic_recent,anterior,0.001,900000,450,0.258,64.682,64.385,64.978
bucket_heuristic_recent,anterior,0.001,1000000,500,0.286,64.602,64.305,64.898
bucket_heuristic_recent,anterior,0.001,1100000,550,0.314,64.743,64.446,65.039
bucket_heuristic_recent,anterior,0.001,1200000,600,0.342,64.86,64.564,65.155
bucket_heuristic_recent,anterior,0.001,1300000,650,0.37,64.728,64.431,65.024
bucket_heuristic_recent,anterior,0.001,1400000,700,0.398,64.842,64.545,65.137
bucket_heuristic_recent,anterior,0.001,1500000,750,0.426,64.613,64.316,64.909
bucket_heuristic_recent,anterior,0.001,1600000,800,0.454,64.718,64.421,65.014
bucket_heuristic_recent,anterior,0.001,1700000,850,0.482,64.73,64.433,65.026
bucket_heuristic_recent,anterior,0.001,1800000,900,0.51,64.761,64.464,65.057
bucket_heuristic_recent,anterior,0.001,1900000,950,0.538,64.825,64.528,65.12
bucket_heuristic_recent,anterior,0.001,2000000,1000,0.566,64.945,64.649,65.24
bucket_heuristic_recent,anterior,0.001,2100000,1050,0.593,64.708,64.411,65.004
bucket_heuristic_recent,anterior,0.001,2200000,1100,0.621,64.779,64.482,65.074
bucket_heuristic_recent,anterior,0.001,2300000,1150,0.649,64.999,64.703,65.294
bucket_heuristic_recent,anterior,0.001,2400000,1200,0.677,64.918,64.622,65.213
bucket_heuristic_recent,anterior,0.001,2500000,1250,0.704,64.976,64.68,65.271
bucket_heuristic_recent,anterior,0.001,2600000,1300,0.732,64.966,64.67,65.261
bucket_heuristic_recent,anterior,0.001,2700000,1350,0.76,64.846,64.55,65.141
bucket_heuristic_recent,anterior,0.001,2800000,1400,0.787,64.799,64.502,65.094
bucket_heuristic_recent,anterior,0.001,2900000,1450,0.815,64.908,64.612,65.203
bucket_heuristic_recent,anterior,0.001,3000000,1500,0.843,65.237,64.941,65.532
bucket_heuristic_recent,anterior,0.001,3100000,1550,0.871,65.124,64.828,65.419
bucket_heuristic_recent,anterior,0.001,3200000,1600,0.899,65.259,64.963,65.554
bucket_heuristic_recent,anterior,0.001,3300000,1650,0.926,65.244,64.948,65.539
bucket_heuristic_recent,anterior,0.001,3400000,1700,0.954,65.265,64.969,65.56
bucket_heuristic_recent,anterior,0.001,3500000,1750,0.982,65.062,64.766,65.357
bucket_heuristic_recent,anterior,0.001,3600000,1800,1.009,65.159,64.863,65.454
bucket_heuristic_recent,anterior,0.001,3700000,1850,1.037,65.183,64.887,65.478
bucket_heuristic_recent,anterior,0.001,3800000,1900,1.065,65.328,65.032,65.622
bucket_heuristic_recent,anterior,0.001,3900000,1950,1.093,65.377,65.082,65.671
bucket_heuristic_recent,anterior,0.001,4000000,2000,1.12,65.233,64.937,65.528
bucket_heuristic_recent,anterior,0.001,4100000,2050,1.148,65.129,64.833,65.424
bucket_heuristic_recent,anterior,0.001,4200000,2100,1.176,65.364,65.069,65.658
bucket_heuristic_recent,anterior,0.001,4300000,2150,1.203,65.338,65.042,65.632
bucket_heuristic_recent,anterior,0.001,4400000,2200,1.231,65.437,65.142,65.731
bucket_heuristic_recent,anterior,0.001,4500000,2250,1.259,65.47,65.175,65.764
bucket_heuristic_recent,anterior,0.001,4600000,2300,1.287,65.444,65.149,65.738
bucket_heuristic_recent,anterior,0.001,4700000,2350,1.314,65.347,65.051,65.641
bucket_heuristic_recent,anterior,0.001,4800000,2400,1.342,65.234,64.938,65.529
bucket_heuristic_recent,anterior,0.001,4900000,2450,1.37,65.435,65.14,65.729
bucket_heuristic_recent,anterior,0.001,5000000,2500,1.398,65.789,65.494,66.082
bucket_heuristic_recent,anterior,0.001,5100000,2550,1.425,65.704,65.409,65.998
bucket_heuristic_recent,anterior,0.001,5200000,2600,1.453,65.546,65.251,65.84
bucket_heuristic_recent,anterior,0.001,5300000,2650,1.481,65.528,65.233,65.822
bucket_heuristic_recent,anterior,0.001,5400000,2700,1.509,65.493,65.198,65.787
bucket_heuristic_recent,anterior,0.001,5500000,2750,1.537,65.586,65.291,65.88
bucket_heuristic_recent,anterior,0.001,5600000,2800,1.564,65.384,65.089,65.678
bucket_heuristic_recent,anterior,0.001,5700000,2850,1.592,65.539,65.244,65.833
bucket_heuristic_recent,anterior,0.001,5800000,2900,1.62,65.409,65.114,65.703
bucket_heuristic_recent,anterior,0.001,5900000,2950,1.648,65.47,65.175,65.764
bucket_heuristic_recent,anterior,0.001,6000000,3000,1.675,65.451,65.156,65.745
bucket_heuristic_recent,anterior,0.001,6100000,3050,1.703,65.51,65.215,65.804
bucket_heuristic_recent,anterior,0.001,6200000,3100,1.731,65.399,65.104,65.693
bucket_heuristic_recent,anterior,0.001,6300000,3150,1.759,64.919,64.623,65.214
bucket_heuristic_recent,anterior,0.001,6400000,3200,1.787,65.433,65.138,65.727
bucket_heuristic_recent,anterior,0.001,6500000,3250,1.814,65.442,65.147,65.736
bucket_heuristic_recent,anterior,0.001,6600000,3300,1.842,65.486,65.191,65.78
bucket_heuristic_recent,anterior,0.001,6700000,3350,1.87,65.63,65.335,65.924
bucket_heuristic_recent,anterior,0.001,6800000,3400,1.898,65.593,65.298,65.887
bucket_heuristic_recent,anterior,0.001,6900000,3450,1.925,65.59,65.295,65.884
bucket_heuristic_recent,anterior,0.001,7000000,3500,1.953,65.68,65.385,65.974
bucket_heuristic_recent,anterior,0.001,7100000,3550,1.981,65.583,65.288,65.877
bucket_heuristic_recent,anterior,0.001,7200000,3600,2.009,65.663,65.368,65.957
bucket_heuristic_recent,anterior,0.001,7300000,3650,2.037,65.581,65.286,65.875
bucket_heuristic_recent,anterior,0.001,7400000,3700,2.064,65.674,65.379,65.968
bucket_heuristic_recent,anterior,0.001,7500000,3750,2.092,65.644,65.349,65.938
bucket_heuristic_recent,anterior,0.001,7600000,3800,2.12,65.772,65.477,66.065
bucket_heuristic_recent,anterior,0.001,7700000,3850,2.148,65.428,65.133,65.722
bucket_heuristic_recent,anterior,0.001,7800000,3900,2.176,65.386,65.091,65.68
bucket_heuristic_recent,anterior,0.001,7900000,3950,2.204,65.494,65.199,65.788
bucket_heuristic_recent,anterior,0.001,8000000,4000,2.232,65.497,65.202,65.791
bucket_heuristic_recent,anterior,0.001,8100000,4050,2.259,65.318,65.022,65.612
bucket_heuristic_recent,anterior,0.001,8200000,4100,2.287,65.485,65.19,65.779
bucket_heuristic_recent,anterior,0.001,8300000,4150,2.315,65.503,65.208,65.797
bucket_heuristic_recent,anterior,0.001,8400000,4200,2.343,65.383,65.088,65.677
