corrida,gpi,config,partidas,vitoria_pct,media_movel_5_pct
gpi1000,1000,antiga,17900000,65.334,65.3294
gpi1000,1000,antiga,18000000,65.194,65.3124
gpi1000,1000,antiga,18100000,65.42,65.3684
gpi1000,1000,antiga,18200000,65.434,65.3786
gpi1000,1000,antiga,18300000,65.472,65.3708
gpi1000,1000,antiga,18400000,65.444,65.3928
gpi1000,1000,antiga,18500000,65.201,65.3942
gpi1000,1000,antiga,18600000,65.39,65.3882
gpi2000,2000,antiga,0,62.58,62.58
gpi2000,2000,antiga,100000,63.781,63.1805
gpi2000,2000,antiga,200000,64.526,63.629
gpi2000,2000,antiga,300000,64.441,63.832
gpi2000,2000,antiga,400000,64.381,63.9418
gpi2000,2000,antiga,500000,64.501,64.326
gpi2000,2000,antiga,600000,64.342,64.4382
gpi2000,2000,antiga,700000,64.451,64.4232
gpi2000,2000,antiga,800000,64.567,64.4484
gpi2000,2000,antiga,900000,64.579,64.488
gpi2000,2000,antiga,1000000,64.5,64.4878
gpi2000,2000,antiga,1100000,64.482,64.5158
gpi2000,2000,antiga,1200000,64.7,64.5656
gpi2000,2000,antiga,1300000,64.647,64.5816
gpi2000,2000,antiga,1400000,64.775,64.6208
gpi2000,2000,antiga,1500000,64.387,64.5982
gpi2000,2000,antiga,1600000,64.591,64.62
gpi2000,2000,antiga,1700000,64.585,64.597
